"pref","area","loc"
"北海道","北海道","浜頓別クッチャロ湖"
"北海道","北海道","宮島沼"
"北海道","北海道","ウトナイ湖"
"北海道","北海道","野付半島・野付湾"
"北海道","北海道","風蓮湖 別海町側"
"北海道","北海道","濤沸湖"
"北海道","北海道","厚岸・別寒辺牛・霧多布（別寒辺牛川下流・厚岸湖）"
"北海道","北海道","厚岸・別寒辺牛・霧多布（琵琶瀬川下流）"
"北海道","北海道","風蓮湖 根室市側"
"青森県","東北","小湊"
"青森県","東北","十和田湖"
"秋田県","東北","大潟草原"
"宮城県","東北","伊豆沼"
"山形県","東北","大山上池・下池"
"千葉県","関東","谷津"
"石川県","中部","片野鴨池"
"新潟県","中部","佐潟"
"愛知県","中部","藤前干潟"
"兵庫県","近畿","浜甲子園"
"鳥取島根県","中国・四国","中海"
"島根県","中国・四国","宍道湖"
"福岡県","九州","和白干潟"
"宮崎鹿児島県","九州","霧島"
"鹿児島県","九州","出水・高尾野"
"沖縄県","沖縄","漫湖"
"滋賀県","近畿","琵琶湖"
"岩手県","東北","高松の池"
"宮城県","東北","仙台市大沼"
"新潟県","中部","お幕場大池"
"長崎県","九州","諫早湾"
"北海道","北海道","大野川河口"
"福島県","東北","阿武隈川西田堂坂"
"茨城県","関東","千波湖"
"福井県","中部","加戸大堤"
"長野県","九州","小諸発電所第一調整池"
"佐賀県","九州","巨勢川調整池"
"佐賀県","九州","巨瀬川調整池"
"大阪府","近畿","大阪城公園"
"岡山県","中国・四国","倉敷市岡田大池"
"広島県","中国・四国","八幡川河口"
"広島県","中国・四国","御手洗川河口"
"山口県","中国・四国","きらら浜／土路石川河口"
"徳島県","中国・四国","姫田中池"
"愛媛県","中国・四国","宇和運動公園"
"北海道","北海道","三蔵宮池"
"熊本県","九州","江津湖"
"宮崎県","九州","二ツ立調整池"
"群馬県","関東","波志江沼"
"埼玉県","関東","伊佐沼"
"愛知県","中部","油ヶ淵"
"三重県","近畿","雲出川河口"
"兵庫県","近畿","加陽水辺公園"
"鳥取県","中国・四国","湖山池"
"愛媛県","中国・四国","大明神池"
"高知県","中国・四国","十市石土池"
"鹿児島県","九州","鹿児島湾奥部"
"静岡県","中部","瀬戸川河口"
"愛媛県","中国・四国","兼久池"
"静岡県","中部","桶ヶ谷沼"
"佐賀県","九州","長浜干拓"
"岡山県","中国・四国","岡田大池"
"福島県","東北","高野池"
"岡山県","中国・四国","倉敷市玉島下水処理場"
